KO.y,cluster,KO,Description,Category,Family,KO.y,Name,Pathway
ko01220,NVE13938,K00002,AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2],Metabolism,Overview,ko01220,"AKR1A1, adh, alcohol dehydrogenase (NADP+)",01220 Degradation of aromatic compounds
ko04016,NVE19291,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04016,"CALM, calmodulin",04016 MAPK signaling pathway - plant
ko04371,NVE19291,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04371,"CALM, calmodulin",04371 Apelin signaling pathway
ko04020,NVE19291,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04020,"CALM, calmodulin",04020 Calcium signaling pathway
ko04070,NVE19291,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04070,"CALM, calmodulin",04070 Phosphatidylinositol signaling system
ko04024,NVE19291,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04024,"CALM, calmodulin",04024 cAMP signaling pathway
ko04022,NVE19291,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04022,"CALM, calmodulin",04022 cGMP - PKG signaling pathway
ko04114,NVE19291,K02183,CALM; calmodulin,Cellular Processes,Cell growth and death,ko04114,"CALM, calmodulin",04114 Oocyte meiosis
ko04910,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04910,"CALM, calmodulin",04910 Insulin signaling pathway
ko04922,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04922,"CALM, calmodulin",04922 Glucagon signaling pathway
ko04912,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04912,"CALM, calmodulin",04912 GnRH signaling pathway
ko04915,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04915,"CALM, calmodulin",04915 Estrogen signaling pathway
ko04921,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04921,"CALM, calmodulin",04921 Oxytocin signaling pathway
ko04916,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04916,"CALM, calmodulin",04916 Melanogenesis
ko04924,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04924,"CALM, calmodulin",04924 Renin secretion
ko04925,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04925,"CALM, calmodulin",04925 Aldosterone synthesis and secretion
ko04261,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Circulatory system,ko04261,"CALM, calmodulin",04261 Adrenergic signaling in cardiomyocytes
ko04270,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Circulatory system,ko04270,"CALM, calmodulin",04270 Vascular smooth muscle contraction
ko04970,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Digestive system,ko04970,"CALM, calmodulin",04970 Salivary secretion
ko04971,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Digestive system,ko04971,"CALM, calmodulin",04971 Gastric acid secretion
ko04728,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Nervous system,ko04728,"CALM, calmodulin",04728 Dopaminergic synapse
ko04720,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Nervous system,ko04720,"CALM, calmodulin",04720 Long-term potentiation
ko04722,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Nervous system,ko04722,"CALM, calmodulin",04722 Neurotrophin signaling pathway
ko04744,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Sensory system,ko04744,"CALM, calmodulin",04744 Phototransduction
ko04745,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Sensory system,ko04745,"CALM, calmodulin",04745 Phototransduction - fly
ko04740,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Sensory system,ko04740,"CALM, calmodulin",04740 Olfactory transduction
ko04750,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Sensory system,ko04750,"CALM, calmodulin",04750 Inflammatory mediator regulation of TRP channels
ko04713,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Environmental adaptation,ko04713,"CALM, calmodulin",04713 Circadian entrainment
ko04626,NVE19291,K02183,CALM; calmodulin,Organismal Systems,Environmental adaptation,ko04626,"CALM, calmodulin",04626 Plant-pathogen interaction
ko05214,NVE19291,K02183,CALM; calmodulin,Human Diseases,Cancers,ko05214,"CALM, calmodulin",05214 Glioma
ko05010,NVE19291,K02183,CALM; calmodulin,Human Diseases,Neurodegenerative diseases,ko05010,"CALM, calmodulin",05010 Alzheimerps disease
ko05031,NVE19291,K02183,CALM; calmodulin,Human Diseases,Substance dependence,ko05031,"CALM, calmodulin",05031 Amphetamine addiction
ko05034,NVE19291,K02183,CALM; calmodulin,Human Diseases,Substance dependence,ko05034,"CALM, calmodulin",05034 Alcoholism
ko05418,NVE19291,K02183,CALM; calmodulin,Human Diseases,Cardiovascular diseases,ko05418,"CALM, calmodulin",05418 Fluid shear stress and atherosclerosis
ko05133,NVE19291,K02183,CALM; calmodulin,Human Diseases,Infectious diseases,ko05133,"CALM, calmodulin",05133 Pertussis
ko05152,NVE19291,K02183,CALM; calmodulin,Human Diseases,Infectious diseases,ko05152,"CALM, calmodulin",05152 Tuberculosis
ko04014,NVE1996,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04014,"CALM, calmodulin",04014 Ras signaling pathway
ko04015,NVE1996,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04015,"CALM, calmodulin",04015 Rap1 signaling pathway
ko04016,NVE1996,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04016,"CALM, calmodulin",04016 MAPK signaling pathway - plant
ko04371,NVE1996,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04371,"CALM, calmodulin",04371 Apelin signaling pathway
ko04020,NVE1996,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04020,"CALM, calmodulin",04020 Calcium signaling pathway
ko04070,NVE1996,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04070,"CALM, calmodulin",04070 Phosphatidylinositol signaling system
ko04024,NVE1996,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04024,"CALM, calmodulin",04024 cAMP signaling pathway
ko04022,NVE1996,K02183,CALM; calmodulin,Environmental Information Processing,Signal transduction,ko04022,"CALM, calmodulin",04022 cGMP - PKG signaling pathway
ko04114,NVE1996,K02183,CALM; calmodulin,Cellular Processes,Cell growth and death,ko04114,"CALM, calmodulin",04114 Oocyte meiosis
ko04910,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04910,"CALM, calmodulin",04910 Insulin signaling pathway
ko04922,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04922,"CALM, calmodulin",04922 Glucagon signaling pathway
ko04912,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04912,"CALM, calmodulin",04912 GnRH signaling pathway
ko04915,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04915,"CALM, calmodulin",04915 Estrogen signaling pathway
ko04921,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04921,"CALM, calmodulin",04921 Oxytocin signaling pathway
ko04916,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04916,"CALM, calmodulin",04916 Melanogenesis
ko04924,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04924,"CALM, calmodulin",04924 Renin secretion
ko04925,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Endocrine system,ko04925,"CALM, calmodulin",04925 Aldosterone synthesis and secretion
ko04261,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Circulatory system,ko04261,"CALM, calmodulin",04261 Adrenergic signaling in cardiomyocytes
ko04270,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Circulatory system,ko04270,"CALM, calmodulin",04270 Vascular smooth muscle contraction
ko04970,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Digestive system,ko04970,"CALM, calmodulin",04970 Salivary secretion
ko04971,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Digestive system,ko04971,"CALM, calmodulin",04971 Gastric acid secretion
ko04728,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Nervous system,ko04728,"CALM, calmodulin",04728 Dopaminergic synapse
ko04720,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Nervous system,ko04720,"CALM, calmodulin",04720 Long-term potentiation
ko04722,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Nervous system,ko04722,"CALM, calmodulin",04722 Neurotrophin signaling pathway
ko04744,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Sensory system,ko04744,"CALM, calmodulin",04744 Phototransduction
ko04745,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Sensory system,ko04745,"CALM, calmodulin",04745 Phototransduction - fly
ko04740,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Sensory system,ko04740,"CALM, calmodulin",04740 Olfactory transduction
ko04750,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Sensory system,ko04750,"CALM, calmodulin",04750 Inflammatory mediator regulation of TRP channels
ko04713,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Environmental adaptation,ko04713,"CALM, calmodulin",04713 Circadian entrainment
ko04626,NVE1996,K02183,CALM; calmodulin,Organismal Systems,Environmental adaptation,ko04626,"CALM, calmodulin",04626 Plant-pathogen interaction
ko05214,NVE1996,K02183,CALM; calmodulin,Human Diseases,Cancers,ko05214,"CALM, calmodulin",05214 Glioma
ko05010,NVE1996,K02183,CALM; calmodulin,Human Diseases,Neurodegenerative diseases,ko05010,"CALM, calmodulin",05010 Alzheimerps disease
ko05031,NVE1996,K02183,CALM; calmodulin,Human Diseases,Substance dependence,ko05031,"CALM, calmodulin",05031 Amphetamine addiction
ko05034,NVE1996,K02183,CALM; calmodulin,Human Diseases,Substance dependence,ko05034,"CALM, calmodulin",05034 Alcoholism
ko05418,NVE1996,K02183,CALM; calmodulin,Human Diseases,Cardiovascular diseases,ko05418,"CALM, calmodulin",05418 Fluid shear stress and atherosclerosis
ko05133,NVE1996,K02183,CALM; calmodulin,Human Diseases,Infectious diseases,ko05133,"CALM, calmodulin",05133 Pertussis
ko05152,NVE1996,K02183,CALM; calmodulin,Human Diseases,Infectious diseases,ko05152,"CALM, calmodulin",05152 Tuberculosis
ko04320,NVE11270,K02184,FMN2; formin 2,Organismal Systems,Development,ko04320,"FMN2, formin 2",04320 Dorso-ventral axis formation
ko04320,NVE9584,K02184,FMN2; formin 2,Organismal Systems,Development,ko04320,"FMN2, formin 2",04320 Dorso-ventral axis formation
ko04010,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Environmental Information Processing,Signal transduction,ko04010,"CASP3, caspase 3",04010 MAPK signaling pathway
ko04668,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Environmental Information Processing,Signal transduction,ko04668,"CASP3, caspase 3",04668 TNF signaling pathway
ko04210,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Cellular Processes,Cell growth and death,ko04210,"CASP3, caspase 3",04210 Apoptosis
ko04215,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Cellular Processes,Cell growth and death,ko04215,"CASP3, caspase 3",04215 Apoptosis - multiple species
ko04115,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Cellular Processes,Cell growth and death,ko04115,"CASP3, caspase 3",04115 p53 signaling pathway
ko04650,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Organismal Systems,Immune system,ko04650,"CASP3, caspase 3",04650 Natural killer cell mediated cytotoxicity
ko04657,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Organismal Systems,Immune system,ko04657,"CASP3, caspase 3",04657 IL-17 signaling pathway
ko04726,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Organismal Systems,Nervous system,ko04726,"CASP3, caspase 3",04726 Serotonergic synapse
ko05200,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Cancers,ko05200,"CASP3, caspase 3",05200 Pathways in cancer
ko05206,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Cancers,ko05206,"CASP3, caspase 3",05206 MicroRNAs in cancer
ko05205,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Cancers,ko05205,"CASP3, caspase 3",05205 Proteoglycans in cancer
ko05203,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Cancers,ko05203,"CASP3, caspase 3",05203 Viral carcinogenesis
ko05210,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Cancers,ko05210,"CASP3, caspase 3",05210 Colorectal cancer
ko05010,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Neurodegenerative diseases,ko05010,"CASP3, caspase 3",05010 Alzheimerps disease
ko05012,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Neurodegenerative diseases,ko05012,"CASP3, caspase 3",05012 Parkinsonps disease
ko05014,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Neurodegenerative diseases,ko05014,"CASP3, caspase 3",05014 Amyotrophic lateral sclerosis (ALS)
ko05016,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Neurodegenerative diseases,ko05016,"CASP3, caspase 3",05016 Huntingtonps disease
ko05416,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Cardiovascular diseases,ko05416,"CASP3, caspase 3",05416 Viral myocarditis
ko04932,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Endocrine and metabolic diseases,ko04932,"CASP3, caspase 3",04932 Non-alcoholic fatty liver disease (NAFLD)
ko04933,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Endocrine and metabolic diseases,ko04933,"CASP3, caspase 3",04933 AGE-RAGE signaling pathway in diabetic complications
ko05120,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Infectious diseases,ko05120,"CASP3, caspase 3",05120 Epithelial cell signaling in Helicobacter pylori infection
ko05133,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Infectious diseases,ko05133,"CASP3, caspase 3",05133 Pertussis
ko05134,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Infectious diseases,ko05134,"CASP3, caspase 3",05134 Legionellosis
ko05152,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Infectious diseases,ko05152,"CASP3, caspase 3",05152 Tuberculosis
ko05161,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Infectious diseases,ko05161,"CASP3, caspase 3",05161 Hepatitis B
ko05168,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Infectious diseases,ko05168,"CASP3, caspase 3",05168 Herpes simplex infection
ko05146,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Infectious diseases,ko05146,"CASP3, caspase 3",05146 Amoebiasis
ko05145,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Infectious diseases,ko05145,"CASP3, caspase 3",05145 Toxoplasmosis
ko01524,NVE15975,K02187,CASP3; caspase 3 [EC:3.4.22.56],Human Diseases,Drug resistance,ko01524,"CASP3, caspase 3",01524 Platinum drug resistance
ko03022,NVE12235,K02202,CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23],Genetic Information Processing,Transcription,ko03022,"CDK7, cyclin-dependent kinase 7",03022 Basal transcription factors
ko03420,NVE12235,K02202,CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23],Genetic Information Processing,Replication and repair,ko03420,"CDK7, cyclin-dependent kinase 7",03420 Nucleotide excision repair
ko04110,NVE12235,K02202,CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23],Cellular Processes,Cell growth and death,ko04110,"CDK7, cyclin-dependent kinase 7",04110 Cell cycle
ko04068,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Environmental Information Processing,Signal transduction,ko04068,"CDK2, cyclin-dependent kinase 2",04068 FoxO signaling pathway
ko04151,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Environmental Information Processing,Signal transduction,ko04151,"CDK2, cyclin-dependent kinase 2",04151 PI3K-Akt signaling pathway
ko04110,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Cellular Processes,Cell growth and death,ko04110,"CDK2, cyclin-dependent kinase 2",04110 Cell cycle
ko04114,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Cellular Processes,Cell growth and death,ko04114,"CDK2, cyclin-dependent kinase 2",04114 Oocyte meiosis
ko04115,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Cellular Processes,Cell growth and death,ko04115,"CDK2, cyclin-dependent kinase 2",04115 p53 signaling pathway
ko04914,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Organismal Systems,Endocrine system,ko04914,"CDK2, cyclin-dependent kinase 2",04914 Progesterone-mediated oocyte maturation
ko05200,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Human Diseases,Cancers,ko05200,"CDK2, cyclin-dependent kinase 2",05200 Pathways in cancer
ko05203,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Human Diseases,Cancers,ko05203,"CDK2, cyclin-dependent kinase 2",05203 Viral carcinogenesis
ko05215,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Human Diseases,Cancers,ko05215,"CDK2, cyclin-dependent kinase 2",05215 Prostate cancer
ko05222,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Human Diseases,Cancers,ko05222,"CDK2, cyclin-dependent kinase 2",05222 Small cell lung cancer
ko05162,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Human Diseases,Infectious diseases,ko05162,"CDK2, cyclin-dependent kinase 2",05162 Measles
ko05161,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Human Diseases,Infectious diseases,ko05161,"CDK2, cyclin-dependent kinase 2",05161 Hepatitis B
ko05168,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Human Diseases,Infectious diseases,ko05168,"CDK2, cyclin-dependent kinase 2",05168 Herpes simplex infection
ko05169,NVE22861,K02206,CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22],Human Diseases,Infectious diseases,ko05169,"CDK2, cyclin-dependent kinase 2",05169 Epstein-Barr virus infection
ko04120,NVE17186,K02207,UBE2R; ubiquitin-conjugating enzyme E2 R [EC:2.3.2.23],Genetic Information Processing,"Folding, sorting and degradation",ko04120,"UBE2R, UBC3, CDC34, ubiquitin-conjugating enzyme E2 R",04120 Ubiquitin mediated proteolysis
ko05168,NVE17186,K02207,UBE2R; ubiquitin-conjugating enzyme E2 R [EC:2.3.2.23],Human Diseases,Infectious diseases,ko05168,"UBE2R, UBC3, CDC34, ubiquitin-conjugating enzyme E2 R",05168 Herpes simplex infection
ko03030,NVE22377,K02209,MCM5; DNA replication licensing factor MCM5 [EC:3.6.4.12],Genetic Information Processing,Replication and repair,ko03030,"MCM5, CDC46, DNA replication licensing factor MCM5",03030 DNA replication
ko04110,NVE22377,K02209,MCM5; DNA replication licensing factor MCM5 [EC:3.6.4.12],Cellular Processes,Cell growth and death,ko04110,"MCM5, CDC46, DNA replication licensing factor MCM5",04110 Cell cycle
ko04111,NVE22377,K02209,MCM5; DNA replication licensing factor MCM5 [EC:3.6.4.12],Cellular Processes,Cell growth and death,ko04111,"MCM5, CDC46, DNA replication licensing factor MCM5",04111 Cell cycle - yeast
ko04113,NVE22377,K02209,MCM5; DNA replication licensing factor MCM5 [EC:3.6.4.12],Cellular Processes,Cell growth and death,ko04113,"MCM5, CDC46, DNA replication licensing factor MCM5",04113 Meiosis - yeast
ko03030,NVE3145,K02210,MCM7; DNA replication licensing factor MCM7 [EC:3.6.4.12],Genetic Information Processing,Replication and repair,ko03030,"MCM7, CDC47, DNA replication licensing factor MCM7",03030 DNA replication
ko04110,NVE3145,K02210,MCM7; DNA replication licensing factor MCM7 [EC:3.6.4.12],Cellular Processes,Cell growth and death,ko04110,"MCM7, CDC47, DNA replication licensing factor MCM7",04110 Cell cycle
ko04111,NVE3145,K02210,MCM7; DNA replication licensing factor MCM7 [EC:3.6.4.12],Cellular Processes,Cell growth and death,ko04111,"MCM7, CDC47, DNA replication licensing factor MCM7",04111 Cell cycle - yeast
ko04113,NVE3145,K02210,MCM7; DNA replication licensing factor MCM7 [EC:3.6.4.12],Cellular Processes,Cell growth and death,ko04113,"MCM7, CDC47, DNA replication licensing factor MCM7",04113 Meiosis - yeast
ko05202,NVE9120,K02211,CDK9; cyclin-dependent kinase 9 [EC:2.7.11.22 2.7.11.23],Human Diseases,Cancers,ko05202,"CDK9, cyclin-dependent kinase 9",05202 Transcriptional misregulation in cancers
ko03030,NVE9586,K02212,MCM4; DNA replication licensing factor MCM4 [EC:3.6.4.12],Genetic Information Processing,Replication and repair,ko03030,"MCM4, CDC54, DNA replication licensing factor MCM4",03030 DNA replication
ko04110,NVE9586,K02212,MCM4; DNA replication licensing factor MCM4 [EC:3.6.4.12],Cellular Processes,Cell growth and death,ko04110,"MCM4, CDC54, DNA replication licensing factor MCM4",04110 Cell cycle
ko04111,NVE9586,K02212,MCM4; DNA replication licensing factor MCM4 [EC:3.6.4.12],Cellular Processes,Cell growth and death,ko04111,"MCM4, CDC54, DNA replication licensing factor MCM4",04111 Cell cycle - yeast
ko04113,NVE9586,K02212,MCM4; DNA replication licensing factor MCM4 [EC:3.6.4.12],Cellular Processes,Cell growth and death,ko04113,"MCM4, CDC54, DNA replication licensing factor MCM4",04113 Meiosis - yeast
ko04110,NVE12898,K02213,CDC6; cell division control protein 6,Cellular Processes,Cell growth and death,ko04110,"CDC6, cell division control",04110 Cell cycle
ko04111,NVE12898,K02213,CDC6; cell division control protein 6,Cellular Processes,Cell growth and death,ko04111,"CDC6, cell division control",04111 Cell cycle - yeast
ko04113,NVE12898,K02213,CDC6; cell division control protein 6,Cellular Processes,Cell growth and death,ko04113,"CDC6, cell division control protein 6",04113 Meiosis - yeast
ko04110,NVE14958,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Cellular Processes,Cell growth and death,ko04110,"CHK1, serine/threonine-protein kinase Chk1",04110 Cell cycle
ko04111,NVE14958,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Cellular Processes,Cell growth and death,ko04111,"CHK1, serine/threonine-protein kinase Chk1",04111 Cell cycle - yeast
ko04113,NVE14958,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Cellular Processes,Cell growth and death,ko04113,"CHK1, serine/threonine-protein kinase Chk1",04113 Meiosis - yeast
ko04115,NVE14958,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Cellular Processes,Cell growth and death,ko04115,"CHK1, serine/threonine-protein kinase Chk1",04115 p53 signaling pathway
ko05203,NVE14958,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Human Diseases,Cancers,ko05203,"CHK1, serine/threonine-protein kinase Chk1",05203 Viral carcinogenesis
ko05166,NVE14958,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Human Diseases,Infectious diseases,ko05166,"CHK1, serine/threonine-protein kinase Chk1",05166 HTLV-I infection
ko04110,NVE18611,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Cellular Processes,Cell growth and death,ko04110,"CHK1, serine/threonine-protein kinase Chk1",04110 Cell cycle
ko04111,NVE18611,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Cellular Processes,Cell growth and death,ko04111,"CHK1, serine/threonine-protein kinase Chk1",04111 Cell cycle - yeast
ko04113,NVE18611,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Cellular Processes,Cell growth and death,ko04113,"CHK1, serine/threonine-protein kinase Chk1",04113 Meiosis - yeast
ko04115,NVE18611,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Cellular Processes,Cell growth and death,ko04115,"CHK1, serine/threonine-protein kinase Chk1",04115 p53 signaling pathway
ko05203,NVE18611,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Human Diseases,Cancers,ko05203,"CHK1, serine/threonine-protein kinase Chk1",05203 Viral carcinogenesis
ko05166,NVE18611,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1],Human Diseases,Infectious diseases,ko05166,"CHK1, serine/threonine-protein kinase Chk1",05166 HTLV-I infection
ko04111,NVE9765,K02219,CKS1; cyclin-dependent kinase regulatory subunit CKS1,Cellular Processes,Cell growth and death,ko04111,"CKS1, cyclin-dependent kinase regulatory",04111 Cell cycle - yeast
ko05200,NVE9765,K02219,CKS1; cyclin-dependent kinase regulatory subunit CKS1,Human Diseases,Cancers,ko05200,"CKS1, cyclin-dependent kinase regulatory",05200 Pathways in cancer
ko05222,NVE9765,K02219,CKS1; cyclin-dependent kinase regulatory subunit CKS1,Human Diseases,Cancers,ko05222,"CKS1, cyclin-dependent kinase regulatory",05222 Small cell lung cancer
ko04728,NVE2080,K02223,CLOCK; circadian locomoter output cycles kaput protein [EC:2.3.1.48],Organismal Systems,Nervous system,ko04728,"CLOCK, KAT13D, circadian locomoter output cycles kaput protein",04728 Dopaminergic synapse
ko04710,NVE2080,K02223,CLOCK; circadian locomoter output cycles kaput protein [EC:2.3.1.48],Organismal Systems,Environmental adaptation,ko04710,"CLOCK, KAT13D, circadian locomoter output cycles kaput protein",04710 Circadian rhythm
ko04711,NVE2080,K02223,CLOCK; circadian locomoter output cycles kaput protein [EC:2.3.1.48],Organismal Systems,Environmental adaptation,ko04711,"CLOCK, KAT13D, circadian locomoter output cycles kaput protein",04711 Circadian rhythm - fly
ko05168,NVE2080,K02223,CLOCK; circadian locomoter output cycles kaput protein [EC:2.3.1.48],Human Diseases,Infectious diseases,ko05168,"CLOCK, KAT13D, circadian locomoter output cycles kaput protein",05168 Herpes simplex infection
ko00190,NVE2183,K02256,COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1],Metabolism,Energy metabolism,ko00190,"COX1, cytochrome c oxidase subunit 1",00190 Oxidative phosphorylation
ko04260,NVE2183,K02256,COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1],Organismal Systems,Circulatory system,ko04260,"COX1, cytochrome c oxidase subunit 1",04260 Cardiac muscle contraction
ko05010,NVE2183,K02256,COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1],Human Diseases,Neurodegenerative diseases,ko05010,"COX1, cytochrome c oxidase subunit 1",05010 Alzheimerps disease
ko05012,NVE2183,K02256,COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1],Human Diseases,Neurodegenerative diseases,ko05012,"COX1, cytochrome c oxidase subunit 1",05012 Parkinsonps disease
ko05016,NVE2183,K02256,COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1],Human Diseases,Neurodegenerative diseases,ko05016,"COX1, cytochrome c oxidase subunit 1",05016 Huntingtonps disease
