cluster,KO,Description
NVE19923,K04412,STK3; serine/threonine kinase 3
NVE11673,,
NVE23930,K01179,E3.2.1.4; endoglucanase [EC:3.2.1.4]
NVE20679,K08098,"PIGZ; phosphatidylinositol glycan, class Z [EC:2.4.1.-]"
NVE22755,,
NVE4692,,
NVE23334,K12351,SMPD2; sphingomyelin phosphodiesterase 2 [EC:3.1.4.12]
NVE17531,,
NVE24601,K14962,WDR82; COMPASS component SWD2
NVE22442,,
NVE16377,,
NVE613,K09452,ARX; homeobox protein aristaless-related
NVE25230,K11969,ARIH2; ariadne-2 [EC:2.3.2.31]
NVE16624,K15170,MED27; mediator of RNA polymerase II transcription subunit 27
NVE19897,,
NVE15367,,
NVE22767,,
NVE5620,K03025,RPC6; DNA-directed RNA polymerase III subunit RPC6
NVE9144,K11981,RNF41; E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]
NVE14464,K12178,COPS4; COP9 signalosome complex subunit 4
NVE9605,,
NVE22987,K06107,EPB41; erythrocyte membrane protein band 4.1
NVE10798,K04266,
NVE5378,,
NVE1452,K17253,MFGE8; lactadherin
NVE12846,K04460,PPP5C; serine/threonine-protein phosphatase 5 [EC:3.1.3.16]
NVE19136,,
NVE25017,,
NVE1296,K05463,EFNB; ephrin-B
NVE20128,K09632,CTRL; chymotrypsin-like protease [EC:3.4.21.-]
NVE25560,,
NVE15261,K04397,CASP7; caspase 7 [EC:3.4.22.60]
NVE642,K10477,BTBD1_2; BTB/POZ domain-containing protein 1/2
NVE24152,K04255,OPN4; r-opsin
NVE520,K19603,MAPK15; mitogen-activated protein kinase 15 [EC:2.7.11.24]
NVE21384,,
NVE4003,K02684,PRI1; DNA primase small subunit [EC:2.7.7.-]
NVE15336,,
NVE25119,,
NVE9837,,
NVE1705,K07374,TUBA; tubulin alpha
NVE21520,,
NVE17420,K15115,"SLC25A32; solute carrier family 25 (mitochondrial folate transporter), member 32"
NVE9659,,
NVE9244,K03844,"ALG11; alpha-1,2-mannosyltransferase [EC:2.4.1.131]"
NVE25617,,
NVE16894,,
NVE2212,,
NVE19328,K22370,AREL1; apoptosis-resistant E3 ubiquitin protein ligase 1 [EC:2.3.2.26]
NVE25100,,
NVE23298,K03237,EIF2S1; translation initiation factor 2 subunit 1
NVE7903,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE5527,,
NVE17481,K08202,"SLC22A4_5; MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5"
NVE13141,,
NVE2505,K12663,"ECH1; Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase [EC:5.3.3.-]"
NVE25957,,
NVE17356,K14846,RPF1; ribosome production factor 1
NVE15904,K05769,ARHGEF4_29; Rho guanine nucleotide exchange factor 4/29
NVE13519,K10886,XRCC4; DNA-repair protein XRCC4
NVE24516,,
NVE14087,K19716,AUP1; ancient ubiquitous protein 1
NVE21200,,
NVE665,,
NVE18227,K00734,B3GALT6; galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]
NVE5587,,
NVE50,,
NVE7919,,
NVE15540,K06127,"COQ5; 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.201]"
NVE15966,K13988,NUDT9; ADP-ribose pyrophosphatase [EC:3.6.1.13]
NVE23158,,
NVE16303,,
NVE10629,,
NVE22502,,
NVE6345,,
NVE20324,K10408,"DNAH; dynein heavy chain, axonemal"
NVE3315,,
NVE8539,K01415,ECE; endothelin-converting enzyme [EC:3.4.24.71]
NVE6820,K10413,
NVE11412,K12606,RCD1; CCR4-NOT transcription complex subunit 9
NVE20175,K12389,BTS; battenin
NVE25170,,
NVE2054,,
NVE19408,,
NVE15432,K13703,ABHD11; abhydrolase domain-containing protein 11
NVE1374,K14720,"SLC39A14; solute carrier family 39 (zinc transporter), member 14"
NVE17713,,
NVE18079,K00757,udp; uridine phosphorylase [EC:2.4.2.3]
NVE20468,K13868,"SLC7A9; solute carrier family 7 (L-type amino acid transporter), member 9"
NVE20786,,
NVE271,K01206,FUCA; alpha-L-fucosidase [EC:3.2.1.51]
NVE20571,K22128,PIEZO1_2; piezo-type mechanosensitive ion channel component 1/2
NVE16023,,
NVE8389,,
NVE10564,K04919,KCNK9; potassium channel subfamily K member 9
NVE22893,,
NVE15528,,
NVE2848,K00714,"WNT8; wingless-type MMTV integration site family, member 8"
NVE17631,K07756,IP6K; inositol-hexakisphosphate 5-kinase [EC:2.7.4.21]
NVE6942,,
NVE4317,,
NVE13559,K06528,LAMP1_2; lysosomal-associated membrane protein 1/2
NVE18374,K18055,HIF1AN; hypoxia-inducible factor 1-alpha inhibitor (HIF hydroxylase) [EC:1.14.11.30]
NVE24896,,
NVE23358,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE7180,,
NVE12111,K17578,ZCCHC9; zinc finger CCHC domain-containing protein 9
NVE7762,K05863,"SLC25A4S; solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31"
NVE8402,,
NVE2419,,
NVE1472,K01310,CTRB; chymotrypsin [EC:3.4.21.1]
NVE14740,,
NVE1874,K10874,RDM1; RAD52 motif-containing protein 1
NVE14159,,
NVE10503,,
NVE8812,,
NVE10925,,
NVE17183,,
NVE18640,K10402,KIF20; kinesin family member 20
NVE12165,,
NVE2480,K09341,MSX; homeobox protein MSX
NVE8752,K01080,PLPP1_2_3; phosphatidate phosphatase [EC:3.1.3.4]
NVE11924,K00344,qor; NADPH2:quinone reductase [EC:1.6.5.5]
NVE2312,K01444,AGA; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]
NVE13255,,
NVE6649,K01893,NARS; asparaginyl-tRNA synthetase [EC:6.1.1.22]
NVE13264,K03685,rnc; ribonuclease III [EC:3.1.26.3]
NVE8712,K08789,MAST; microtubule-associated serine/threonine kinase [EC:2.7.11.1]
NVE24217,,
NVE23448,K17231,IYD; iodotyrosine deiodinase [EC:1.21.1.1]
NVE9346,,
NVE98,K01025,SULT1; sulfotransferase [EC:2.8.2.-]
NVE7558,,
NVE12587,,
NVE21995,K21989,TMEM63; calcium permeable stress-gated cation channel
NVE9476,,
NVE1849,,
NVE11901,K07424,CYP3A; cytochrome P450 family 3 subfamily A [EC:1.14.14.1]
NVE1658,K00286,proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
NVE14759,,
NVE19983,,
NVE17523,K15084,"SLC25A16; solute carrier family 25 (mitochondrial carrier protein), member 16"
NVE4833,K13577,"SLC25A10; solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10"
NVE14911,,
NVE2617,K01082,"cysQ; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]"
NVE12188,,
NVE18173,K17605,PPP2R4; serine/threonine-protein phosphatase 2A activator
NVE5772,K12383,GM2A; ganglioside GM2 activator
NVE49,,
NVE2721,K04923,KCNK15; potassium channel subfamily K member 15
NVE22989,,
NVE10138,,
NVE10783,,
NVE13370,,
NVE9086,K01301,NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
NVE22300,K01092,E3.1.3.25; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
NVE4387,,
NVE24285,,
NVE25306,,
NVE224,K00940,ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]
NVE24972,,
NVE4383,,
NVE11987,,
NVE7265,K08187,"SLC16A10; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
NVE22672,K03062,PSMC1; 26S proteasome regulatory subunit T2
NVE7669,K13236,"DECR1; 2,4-dienoyl-CoA reductase, mitochondrial [EC:1.3.1.34]"
NVE16077,,
NVE14455,,
NVE9021,,
NVE15309,,
NVE2777,K09561,STUB1; STIP1 homology and U-box containing protein 1 [EC:2.3.2.27]
NVE4774,,
NVE23336,,
NVE7059,,
NVE16806,,
NVE7252,K00512,CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]
NVE13269,,
NVE13172,,
NVE23027,,
NVE11358,K13163,MSL1; male-specific lethal 1
NVE9180,K17095,ANXA7_11; annexin A7/11
NVE25463,,
NVE2158,,
NVE26081,K16673,LIX1L; LIX1-like protein
NVE3069,K10766,ALKBH4; alkylated DNA repair protein alkB homolog 4 [EC:1.14.11.-]
NVE21449,,
NVE15938,,
NVE4650,K01310,CTRB; chymotrypsin [EC:3.4.21.1]
NVE5136,,
NVE19310,,
NVE5751,,
NVE22686,,
NVE23909,,
NVE3941,K11975,RNF144; E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
NVE734,K12893,"SFRS4_5_6; splicing factor, arginine/serine-rich 4/5/6"
NVE18006,,
NVE11758,,
NVE24874,,
NVE3392,,
NVE16899,K15837,GPSM2; G-protein signaling modulator 2
NVE5391,K00286,proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
NVE19095,,
NVE3128,K06580,SLC42A; ammonium transporter Rh
NVE15917,K01892,HARS; histidyl-tRNA synthetase [EC:6.1.1.21]
NVE16421,K03141,TFIIH1; transcription initiation factor TFIIH subunit 1
NVE6839,,
NVE23854,K08175,"NAGLT1; MFS transporter, FHS family, Na+ dependent glucose transporter 1"
NVE4322,,
NVE20589,,
NVE260,,
NVE20829,K00546,HNMT; histamine N-methyltransferase [EC:2.1.1.8]
NVE21781,K20095,RNMTL1; 16S rRNA (guanosine(1370)-2'-O)-methyltransferase [EC:2.1.1.-]
NVE23937,,
NVE16645,K11205,GCLM; glutamate--cysteine ligase regulatory subunit
NVE10863,K21626,CCNDBP1; cyclin-D1-binding protein 1
NVE9931,,
NVE5026,K12026,TRIM56; tripartite motif-containing protein 56 [EC:2.3.2.27]
NVE540,,
NVE15297,K00364,E1.7.1.7; GMP reductase [EC:1.7.1.7]
NVE11754,,
NVE7087,,
NVE22736,K10343,SPSB1_4; SPRY domain-containing SOCS box protein 1/4
NVE17693,,
NVE4647,,
NVE14295,,
NVE24978,K01022,CHST1; keratan sulfate 6-sulfotransferase 1 [EC:2.8.2.21]
NVE1365,,
NVE7292,,
NVE8623,K09405,FOXL; forkhead box protein L
NVE1367,,
NVE20067,K03940,NDUFS7; NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:1.6.5.3 1.6.99.3]
NVE2306,,
NVE5854,,
NVE3465,,
NVE13106,K01298,CPA2; carboxypeptidase A2 [EC:3.4.17.15]
NVE23927,,
NVE10885,,
NVE22622,,
NVE13903,K03843,"ALG2; alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257]"
NVE13710,K02432,
NVE6727,,
NVE23469,,
NVE13113,,
NVE15255,K17286,STOM; erythrocyte band 7 integral membrane protein
NVE21644,K00933,E2.7.3.2; creatine kinase [EC:2.7.3.2]
NVE19823,,
NVE11356,K00599,METTL6; methyltransferase-like protein 6 [EC:2.1.1.-]
NVE7536,,
NVE20341,,
NVE10997,,
NVE5559,,
NVE14881,K12897,TRA2; transformer-2 protein
NVE6404,,
NVE8211,K11433,SETMAR; histone-lysine N-methyltransferase SETMAR [EC:2.1.1.43]
NVE11123,K01639,E4.1.3.3; N-acetylneuraminate lyase [EC:4.1.3.3]
NVE4279,K09228,KRAB; KRAB domain-containing zinc finger protein
NVE18252,,
NVE14174,K00914,PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]
NVE626,K14618,MMACHC; methylmalonic aciduria homocystinuria type C protein
NVE15398,,
NVE1236,,
NVE18443,,
NVE20491,K00944,AK3; nucleoside-triphosphate--adenylate kinase [EC:2.7.4.10]
NVE10979,,
NVE7560,K14050,RABGGTA; geranylgeranyl transferase type-2 subunit alpha [EC:2.5.1.60]
NVE16758,,
NVE12964,,
NVE10508,K12229,DAPP1; dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
NVE19783,,
NVE15795,,
NVE15640,,
NVE2041,,
NVE10325,,
NVE7298,,
NVE12498,K17253,MFGE8; lactadherin
NVE5735,,
NVE15180,K11875,PSMG1; proteasome assembly chaperone 1
NVE12372,,
NVE8817,K00857,tdk; thymidine kinase [EC:2.7.1.21]
NVE21946,,
NVE11408,,
NVE10384,,
NVE23427,,
NVE12397,K11147,DHRS4; dehydrogenase/reductase SDR family member 4 [EC:1.1.-.-]
NVE138,,
NVE8432,K06128,LYPLA1; lysophospholipase I [EC:3.1.1.5]
NVE6376,,
NVE312,K19025,AP5Z1; AP-5 complex subunit zeta-1
NVE8214,,
NVE1661,,
NVE4460,,
NVE19816,,
NVE8114,,
NVE21749,,
NVE394,K15621,BAIAP3; BAI1-associated protein 3
NVE12280,,
NVE7819,K21956,DRAM2; DNA damage-regulated autophagy modulator protein 2
NVE2930,,
NVE14157,K01792,E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
NVE8775,K09445,IRF4; interferon regulatory factor 4
NVE5804,,
NVE5932,K13024,PPIP5K; inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase [EC:2.7.4.24]
NVE11096,,
NVE11992,K17065,DNM1L; dynamin 1-like protein [EC:3.6.5.5]
NVE9615,,
NVE14199,,
NVE12305,,
NVE21816,,
NVE1953,K13354,"SLC25A17; solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17"
NVE18057,,
NVE9385,,
NVE22844,K12872,RBM22; pre-mRNA-splicing factor RBM22/SLT11
NVE19502,K09866,AQP4; aquaporin-4
NVE6987,K12186,FAM125; ESCRT-I complex subunit MVB12
NVE23002,,
NVE16309,,
NVE4244,,
NVE1997,K12180,COPS7; COP9 signalosome complex subunit 7
NVE10886,,
NVE21577,K11972,RNF19A; E3 ubiquitin-protein ligase RNF19A [EC:2.3.2.31]
NVE933,,
NVE2734,,
NVE128,,
NVE663,,
NVE16420,K03141,TFIIH1; transcription initiation factor TFIIH subunit 1
NVE2322,K20029,ZDHHC3_7_25; palmitoyltransferase ZDHHC3/7/25 [EC:2.3.1.225]
NVE25325,K20820,BORCS6; BLOC-1 related complex subunit 6
NVE25911,,
NVE234,K10436,"MAPRE; microtubule-associated protein, RP/EB family"
NVE1820,K05692,ACTB_G1; actin beta/gamma 1
NVE12048,,
NVE13708,K11416,SIRT6; mono-ADP-ribosyltransferase sirtuin 6 [EC:2.4.2.31]
NVE23289,K10276,FBXL10_11; F-box and leucine-rich repeat protein 10/11 [EC:1.14.11.27]
NVE17378,,
NVE20595,K21031,ISPD; D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]
NVE2284,K02888,RP-L21; large subunit ribosomal protein L21
NVE10403,,
NVE5930,,
NVE8313,,
NVE25781,K04135,ADRA1A; adrenergic receptor alpha-1A
NVE19040,,
NVE17607,K13370,HSD17B8; 17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) [EC:1.1.1.62 1.1.1.239]
NVE22879,,
NVE1743,K03386,PRDX2_4; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]
NVE26056,,
NVE24942,,
NVE14350,,
NVE9881,,
NVE9398,K12587,MTR3; exosome complex component MTR3
NVE5047,K00606,panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
NVE4610,K00069,HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
NVE12209,K10277,KDM8; lysine-specific demethylase 8 [EC:1.14.11.27]
NVE2994,,
NVE11185,,
NVE20916,K10249,ELOVL4; elongation of very long chain fatty acids protein 4 [EC:2.3.1.199]
NVE10368,,
NVE11927,K15182,RDBP; negative elongation factor E
NVE5189,K03538,POP4; ribonuclease P protein subunit POP4 [EC:3.1.26.5]
NVE1548,,
NVE24153,,
NVE1800,,
NVE17628,K19197,ING1; inhibitor of growth protein 1
NVE2096,,
NVE23152,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37]
NVE4076,,
NVE12385,,
NVE8499,,
NVE22984,K15523,FN3KRP; protein-ribulosamine 3-kinase [EC:2.7.1.172]
NVE3903,K01469,OPLAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]
NVE6661,,
NVE25894,,
NVE8073,,
NVE3817,,
NVE14569,,
NVE847,,
NVE1150,,
NVE24395,,
NVE8119,,
NVE6567,K01832,TBXAS1; thromboxane-A synthase [EC:5.3.99.5]
NVE10694,K02350,REV3L; DNA polymerase zeta [EC:2.7.7.7]
NVE8221,,
NVE506,,
NVE12198,K17617,CTDNEP1; CTD nuclear envelope phosphatase 1 [EC:3.1.3.16]
NVE10747,,
NVE24739,K15605,KLF3; krueppel-like factor 3
NVE17493,,
NVE15853,K21806,VCPKMT; protein N-lysine methyltransferase METTL21D [EC:2.1.1.-]
NVE10541,,
NVE14908,K19910,SYT10; synaptotagmin-10
NVE3701,,
NVE22153,,
NVE4761,,
NVE3280,,
NVE5805,,
NVE26015,,
NVE21833,,
NVE6712,,
NVE25744,,
NVE22041,K00130,
NVE23012,,
NVE15104,,
NVE4556,,
NVE9785,,
NVE22518,,
NVE20448,K11508,CENPP; centromere protein P
NVE2791,K07541,"PIGX; phosphatidylinositol glycan, class X"
NVE22239,,
NVE20186,K20120,BIN3; bridging integrator 3
NVE15221,,
NVE11846,K01948,CPS1; carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]
NVE6812,K10345,SPSB3; SPRY domain-containing SOCS box protein 3
NVE2484,K04984,TRPA1; transient receptor potential cation channel subfamily A member 1
NVE18233,,
NVE842,,
NVE22779,,
NVE7562,,
NVE22471,,
NVE18986,K12188,SNF8; ESCRT-II complex subunit VPS22
NVE7678,K06184,"ABCF1; ATP-binding cassette, subfamily F, member 1"
NVE14327,,
NVE11586,K17253,MFGE8; lactadherin
NVE10398,,
NVE11208,K03521,fixA; electron transfer flavoprotein beta subunit
NVE5538,,
NVE16755,,
NVE17761,,
NVE16549,,
NVE19402,K07915,RAB28; Ras-related protein Rab-28
NVE14243,K06054,HES1; hairy and enhancer of split 1
NVE22177,,
NVE5628,,
NVE5600,K02727,PSMA3; 20S proteasome subunit alpha 7 [EC:3.4.25.1]
NVE2894,K00950,
NVE1850,,
NVE21105,K19721,"COL5AS; collagen, type V/XI/XXIV/XXVII, alpha"
NVE14492,K13337,PEX19; peroxin-19
NVE23430,K05023,CLIC3; chloride intracellular channel protein 3
NVE13136,K07897,RAB7A; Ras-related protein Rab-7A
NVE12123,,
NVE17302,,
NVE16249,,
NVE10304,,
NVE14177,,
NVE10984,K18084,MTMR9; myotubularin-related protein 9
NVE22222,,
NVE17536,K10900,WRN; werner syndrome ATP-dependent helicase [EC:3.6.4.12]
NVE5910,K03139,TFIIF2; transcription initiation factor TFIIF subunit beta [EC:3.6.4.12]
NVE20496,,
NVE3981,K11583,PPP2R3; serine/threonine-protein phosphatase 2A regulatory subunit B''
NVE8036,K06125,COQ2; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
NVE6456,,
NVE308,,
NVE7497,,
NVE18515,K08498,STX6; syntaxin 6
NVE13380,K06704,ADAM10; disintegrin and metalloproteinase domain-containing protein 10 [EC:3.4.24.81]
NVE7406,K13207,CUGBP; CUG-BP- and ETR3-like factor
NVE20265,K22387,GDPD1_3; lysophospholipase D [EC:3.1.4.39]
NVE16663,,
NVE12038,,
NVE4464,,
NVE16902,,
NVE13808,,
NVE787,,
NVE12479,,
NVE11314,,
NVE18495,,
NVE9506,,
NVE22553,K01166,E3.1.27.1; ribonuclease T2 [EC:3.1.27.1]
NVE11104,,
NVE2085,,
NVE20543,K14556,DIP2; U3 small nucleolar RNA-associated protein 12
NVE2922,K09361,BARX; BarH-like homeobox
NVE551,K01079,serB; phosphoserine phosphatase [EC:3.1.3.3]
NVE23139,,
NVE13924,K19755,RSPH1; radial spoke head protein 1
NVE18896,,
NVE8346,K05857,
NVE10680,,
NVE2128,,
NVE18394,,
NVE9091,,
NVE2969,,
NVE18905,,
NVE3316,,
NVE22096,,
NVE11409,,
NVE13238,K06947,GRC3; polynucleotide 5'-hydroxyl-kinase GRC3/NOL9 [EC:2.7.1.-]
NVE3197,K22385,CAMLG; calcium signal-modulating cyclophilin ligand
NVE16213,,
NVE7128,,
NVE15619,K01807,rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
NVE19577,,
NVE24251,K20045,ITSN; intersectin
NVE2314,K12836,U2AF1; splicing factor U2AF 35 kDa subunit
NVE3013,K13989,DERL2_3; Derlin-2/3
NVE5603,K10768,ALKBH6; alkylated DNA repair protein alkB homolog 6 [EC:1.14.11.-]
NVE9054,,
NVE5429,,
NVE16941,,
NVE26202,,
NVE11939,,
NVE10327,,
NVE1991,K08765,"CPT1A; carnitine O-palmitoyltransferase 1, liver isoform [EC:2.3.1.21]"
NVE9989,K01080,PLPP1_2_3; phosphatidate phosphatase [EC:3.1.3.4]
NVE17632,K12229,DAPP1; dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
NVE1750,,
NVE11982,,
NVE13103,,
NVE19423,,
NVE24349,,
NVE12346,K19473,SIX3_6; homeobox protein SIX3/6
NVE8142,K00382,DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
NVE19956,K16197,YWHAB_Q_Z; 14-3-3 protein beta/theta/zeta
NVE20189,K07912,RAB24; Ras-related protein Rab-24
NVE16866,,
NVE22619,,
NVE20756,,
NVE338,K00569,TPMT; thiopurine S-methyltransferase [EC:2.1.1.67]
NVE2936,,
NVE1018,K08869,ADCK; aarF domain-containing kinase
NVE24752,,
NVE22618,,
NVE11948,K02295,CRY; cryptochrome
NVE18522,,
NVE7222,K00569,TPMT; thiopurine S-methyltransferase [EC:2.1.1.67]
NVE23773,,
NVE11302,,
NVE3363,,
NVE4057,,
NVE4942,,
NVE7057,K14964,ASH2; Set1/Ash2 histone methyltransferase complex subunit ASH2
NVE20613,K20472,COPZ; coatomer subunit zeta
NVE6465,K03681,RRP40; exosome complex component RRP40
NVE4467,,
NVE13505,K00486,KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]
NVE17559,,
NVE19034,,
NVE4063,K05181,GABRB; gamma-aminobutyric acid receptor subunit beta
NVE22557,K15015,SLC32A; solute carrier family 32 (vesicular inhibitory amino acid transporter)
NVE9274,,
NVE144,,
NVE4041,,
NVE4047,,
NVE11788,K21987,POLR2M; DNA-directed RNA polymerase II subunit GRINL1A
NVE9929,K02493,hemK; release factor glutamine methyltransferase [EC:2.1.1.297]
NVE11249,K21889,TMBIM6; Bax inhibitor 1
NVE7709,K12879,THOC2; THO complex subunit 2
NVE4601,,
NVE6944,K11884,PNO1; RNA-binding protein PNO1
NVE21306,K19675,IFT43; intraflagellar transport protein 43
NVE23121,K10895,FANCI; fanconi anemia group I protein
NVE22201,K05695,PTPRF; receptor-type tyrosine-protein phosphatase F [EC:3.1.3.48]
NVE26198,,
NVE2237,,
NVE4688,K20838,NAT8; N-acetyltransferase 8 [EC:2.3.1.80 2.3.1.-]
NVE21660,K04266,
NVE25338,,
NVE19285,K12021,TRIM45; tripartite motif-containing protein 45
NVE2820,K00940,ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]
NVE24068,,
NVE22208,,
NVE17703,,
NVE15771,K21848,ARV1; lipid intermediate transporter
NVE12330,,
NVE13395,,
NVE6532,,
NVE21181,K09201,YY; transcription factor YY
NVE23960,K00799,GST; glutathione S-transferase [EC:2.5.1.18]
NVE15108,,
NVE7827,,
NVE22248,K02838,frr; ribosome recycling factor
NVE16612,K07252,E3.6.1.43; dolichyldiphosphatase [EC:3.6.1.43]
NVE5254,K21922,KCTD21; BTB/POZ domain-containing protein KCTD21
NVE21907,,
NVE16996,,
NVE15685,,
NVE17679,,
NVE13673,,
NVE23247,,
NVE4581,K19755,RSPH1; radial spoke head protein 1
NVE24865,K15837,GPSM2; G-protein signaling modulator 2
NVE4915,,
NVE21267,K02726,PSMA2; 20S proteasome subunit alpha 2 [EC:3.4.25.1]
NVE2189,,
NVE2946,,
NVE15119,,
NVE10675,,
NVE10713,,
NVE25859,,
NVE18121,,
NVE23841,K09267,SOX1S; transcription factor SOX1/3/14/21 (SOX group B)
NVE22308,K02873,RP-L13e; large subunit ribosomal protein L13e
NVE1729,K15432,ASW; ashwin
NVE8420,,
NVE4484,K12035,TRIM71; tripartite motif-containing protein 71 [EC:2.3.2.27]
NVE6010,,
NVE8411,,
NVE6859,K01495,GCH1; GTP cyclohydrolase IA [EC:3.5.4.16]
NVE13469,,
NVE14655,,
NVE19887,,
NVE7132,,
NVE23631,,
NVE22599,,
NVE15572,,
NVE6968,,
NVE15681,,
NVE21977,,
NVE3724,,
NVE12661,,
NVE23286,K14568,EMG1; rRNA small subunit pseudouridine methyltransferase Nep1 [EC:2.1.1.260]
NVE23125,K00799,GST; glutathione S-transferase [EC:2.5.1.18]
NVE4592,,
NVE14111,,
NVE4904,,
NVE6056,K10891,FANCD2; fanconi anemia group D2 protein
NVE15312,,
NVE14510,K07925,RAB39B; Ras-related protein Rab-39B
NVE25774,,
NVE6431,,
NVE1746,K00264,GLT1; glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
NVE23639,,
NVE23211,K08493,VTI1; vesicle transport through interaction with t-SNAREs 1
NVE16000,K11977,RNF217; E3 ubiquitin-protein ligase RNF217 [EC:2.3.2.31]
NVE22399,,
NVE2164,K07855,RERG; Ras-related and estrogen-regulated growth inhibitor
NVE24033,K07841,"DIRAS2; DIRAS family, GTP-binding Ras-like 2"
NVE22410,,
NVE5553,K00411,UQCRFS1; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]
NVE10493,K13696,ABHD1_3; abhydrolase domain-containing protein 1/3
NVE9088,,
NVE20230,,
NVE23910,,
NVE14258,,
NVE15051,,
NVE7233,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE4851,,
NVE9401,,
NVE1437,,
NVE5575,,
NVE12839,,
NVE10577,K00286,proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
NVE19249,K00738,"MGAT4A_B; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]"
NVE1286,K16866,TIMP3; metalloproteinase inhibitor 3
NVE16579,K09371,LMX1; LIM homeobox transcription factor 1
NVE14987,,
NVE24329,,
NVE18369,K04811,CHRNA10; nicotinic acetylcholine receptor alpha-10
NVE20676,,
NVE7321,,
NVE7554,,
NVE7130,K09512,DNAJB6; DnaJ homolog subfamily B member 6
NVE17750,,
NVE5029,,
NVE19232,K00693,GYS; glycogen synthase [EC:2.4.1.11]
NVE14058,,
NVE1644,,
NVE3827,K14397,NUDT21; cleavage and polyadenylation specificity factor subunit 5
NVE17498,,
NVE11262,K17356,TSPAN13_31; tetraspanin-13/31
NVE2163,K07855,RERG; Ras-related and estrogen-regulated growth inhibitor
NVE3721,K13299,GSTK1; glutathione S-transferase kappa 1 [EC:2.5.1.18]
NVE11179,,
NVE23878,,
NVE97,K01025,SULT1; sulfotransferase [EC:2.8.2.-]
NVE6197,,
NVE5849,,
NVE12653,,
NVE8609,K01937,pyrG; CTP synthase [EC:6.3.4.2]
NVE26063,,
NVE19395,K20032,ZDHHC13_17; palmitoyltransferase ZDHHC13/17 [EC:2.3.1.225]
NVE15502,,
NVE6074,,
NVE994,K00923,PIK3C2; phosphatidylinositol-4-phosphate 3-kinase [EC:2.7.1.154]
NVE5884,,
NVE18160,,
NVE8223,,
NVE4165,,
NVE21239,,
NVE17278,K09035,CMAF; transcription factor Maf
NVE7585,K14354,"SLCO4A; solute carrier organic anion transporter family, member 4A"
NVE12835,K09317,EMX; homeobox protein EMX
NVE1655,,
NVE17971,,
NVE8283,,
