"Pathway","cluster","KO","Description","Category","Family","KO.y","Name"
"04070 Phosphatidylinositol signaling system","NVE24115","K00901","dgkA; diacylglycerol kinase (ATP) [EC:2.7.1.107]","Environmental Information Processing","Signal transduction","ko04070","dgkA, DGK, diacylglycerol kinase (ATP)"
"04072 Phospholipase D signaling pathway","NVE24115","K00901","dgkA; diacylglycerol kinase (ATP) [EC:2.7.1.107]","Environmental Information Processing","Signal transduction","ko04072","dgkA, DGK, diacylglycerol kinase (ATP)"
"00561 Glycerolipid metabolism","NVE24421","K00901","dgkA; diacylglycerol kinase (ATP) [EC:2.7.1.107]","Metabolism","Lipid metabolism","ko00561","dgkA, DGK, diacylglycerol kinase (ATP)"
"00564 Glycerophospholipid metabolism","NVE24421","K00901","dgkA; diacylglycerol kinase (ATP) [EC:2.7.1.107]","Metabolism","Lipid metabolism","ko00564","dgkA, DGK, diacylglycerol kinase (ATP)"
"04070 Phosphatidylinositol signaling system","NVE24421","K00901","dgkA; diacylglycerol kinase (ATP) [EC:2.7.1.107]","Environmental Information Processing","Signal transduction","ko04070","dgkA, DGK, diacylglycerol kinase (ATP)"
"04072 Phospholipase D signaling pathway","NVE24421","K00901","dgkA; diacylglycerol kinase (ATP) [EC:2.7.1.107]","Environmental Information Processing","Signal transduction","ko04072","dgkA, DGK, diacylglycerol kinase (ATP)"
"04371 Apelin signaling pathway","NVE19990","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Environmental Information Processing","Signal transduction","ko04371","MYLK, myosin-light-chain kinase"
"04020 Calcium signaling pathway","NVE19990","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Environmental Information Processing","Signal transduction","ko04020","MYLK, myosin-light-chain kinase"
"04022 cGMP - PKG signaling pathway","NVE19990","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Environmental Information Processing","Signal transduction","ko04022","MYLK, myosin-light-chain kinase"
"04510 Focal adhesion","NVE19990","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Cellular Processes","Cellular community - eukaryotes","ko04510","MYLK, myosin-light-chain kinase"
"04810 Regulation of actin cytoskeleton","NVE19990","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Cellular Processes","Cell motility","ko04810","MYLK, myosin-light-chain kinase"
"04611 Platelet activation","NVE19990","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Immune system","ko04611","MYLK, myosin-light-chain kinase"
"04921 Oxytocin signaling pathway","NVE19990","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Endocrine system","ko04921","MYLK, myosin-light-chain kinase"
"04270 Vascular smooth muscle contraction","NVE19990","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Circulatory system","ko04270","MYLK, myosin-light-chain kinase"
"04971 Gastric acid secretion","NVE19990","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Digestive system","ko04971","MYLK, myosin-light-chain kinase"
"04371 Apelin signaling pathway","NVE19989","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Environmental Information Processing","Signal transduction","ko04371","MYLK, myosin-light-chain kinase"
"04020 Calcium signaling pathway","NVE19989","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Environmental Information Processing","Signal transduction","ko04020","MYLK, myosin-light-chain kinase"
"04022 cGMP - PKG signaling pathway","NVE19989","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Environmental Information Processing","Signal transduction","ko04022","MYLK, myosin-light-chain kinase"
"04510 Focal adhesion","NVE19989","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Cellular Processes","Cellular community - eukaryotes","ko04510","MYLK, myosin-light-chain kinase"
"04810 Regulation of actin cytoskeleton","NVE19989","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Cellular Processes","Cell motility","ko04810","MYLK, myosin-light-chain kinase"
"04611 Platelet activation","NVE19989","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Immune system","ko04611","MYLK, myosin-light-chain kinase"
"04921 Oxytocin signaling pathway","NVE19989","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Endocrine system","ko04921","MYLK, myosin-light-chain kinase"
"04270 Vascular smooth muscle contraction","NVE19989","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Circulatory system","ko04270","MYLK, myosin-light-chain kinase"
"04971 Gastric acid secretion","NVE19989","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Digestive system","ko04971","MYLK, myosin-light-chain kinase"
"04371 Apelin signaling pathway","NVE19121","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Environmental Information Processing","Signal transduction","ko04371","MYLK, myosin-light-chain kinase"
"04020 Calcium signaling pathway","NVE19121","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Environmental Information Processing","Signal transduction","ko04020","MYLK, myosin-light-chain kinase"
"04022 cGMP - PKG signaling pathway","NVE19121","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Environmental Information Processing","Signal transduction","ko04022","MYLK, myosin-light-chain kinase"
"04510 Focal adhesion","NVE19121","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Cellular Processes","Cellular community - eukaryotes","ko04510","MYLK, myosin-light-chain kinase"
"04810 Regulation of actin cytoskeleton","NVE19121","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Cellular Processes","Cell motility","ko04810","MYLK, myosin-light-chain kinase"
"04611 Platelet activation","NVE19121","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Immune system","ko04611","MYLK, myosin-light-chain kinase"
"04921 Oxytocin signaling pathway","NVE19121","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Endocrine system","ko04921","MYLK, myosin-light-chain kinase"
"04270 Vascular smooth muscle contraction","NVE19121","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Circulatory system","ko04270","MYLK, myosin-light-chain kinase"
"04971 Gastric acid secretion","NVE19121","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]","Organismal Systems","Digestive system","ko04971","MYLK, myosin-light-chain kinase"
"04340 Hedgehog signaling pathway","NVE8563","K00910","ADRBK; beta-adrenergic-receptor kinase [EC:2.7.11.15]","Environmental Information Processing","Signal transduction","ko04340","ADRBK, GRK, beta-adrenergic-receptor kinase"
"04144 Endocytosis","NVE8563","K00910","ADRBK; beta-adrenergic-receptor kinase [EC:2.7.11.15]","Cellular Processes","Transport and catabolism","ko04144","ADRBK, GRK, beta-adrenergic-receptor kinase"
"04724 Glutamatergic synapse","NVE8563","K00910","ADRBK; beta-adrenergic-receptor kinase [EC:2.7.11.15]","Organismal Systems","Nervous system","ko04724","ADRBK, GRK, beta-adrenergic-receptor kinase"
"04745 Phototransduction - fly","NVE8563","K00910","ADRBK; beta-adrenergic-receptor kinase [EC:2.7.11.15]","Organismal Systems","Sensory system","ko04745","ADRBK, GRK, beta-adrenergic-receptor kinase"
"04740 Olfactory transduction","NVE8563","K00910","ADRBK; beta-adrenergic-receptor kinase [EC:2.7.11.15]","Organismal Systems","Sensory system","ko04740","ADRBK, GRK, beta-adrenergic-receptor kinase"
"00562 Inositol phosphate metabolism","NVE6929","K00911","ITPK; 1D-myo-inositol-triphosphate 3-kinase [EC:2.7.1.127]","Metabolism","Carbohydrate metabolism","ko00562","ITPK, 1D-myo-inositol-triphosphate 3-kinase"
"04020 Calcium signaling pathway","NVE6929","K00911","ITPK; 1D-myo-inositol-triphosphate 3-kinase [EC:2.7.1.127]","Environmental Information Processing","Signal transduction","ko04020","ITPK, 1D-myo-inositol-triphosphate 3-kinase"
"04070 Phosphatidylinositol signaling system","NVE6929","K00911","ITPK; 1D-myo-inositol-triphosphate 3-kinase [EC:2.7.1.127]","Environmental Information Processing","Signal transduction","ko04070","ITPK, 1D-myo-inositol-triphosphate 3-kinase"
"00562 Inositol phosphate metabolism","NVE5612","K00913","ITPK1; inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase [EC:2.7.1.159 2.7.1.134]","Metabolism","Carbohydrate metabolism","ko00562","ITPK1, inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase"
"04070 Phosphatidylinositol signaling system","NVE5612","K00913","ITPK1; inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase [EC:2.7.1.159 2.7.1.134]","Environmental Information Processing","Signal transduction","ko04070","ITPK1, inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase"
"00562 Inositol phosphate metabolism","NVE14174","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Metabolism","Carbohydrate metabolism","ko00562","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04371 Apelin signaling pathway","NVE14174","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Environmental Information Processing","Signal transduction","ko04371","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04070 Phosphatidylinositol signaling system","NVE14174","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Environmental Information Processing","Signal transduction","ko04070","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04145 Phagosome","NVE14174","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Cellular Processes","Transport and catabolism","ko04145","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04140 Autophagy - animal","NVE14174","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Cellular Processes","Transport and catabolism","ko04140","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04138 Autophagy - yeast","NVE14174","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Cellular Processes","Transport and catabolism","ko04138","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04136 Autophagy - other eukaryotes","NVE14174","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Cellular Processes","Transport and catabolism","ko04136","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"00562 Inositol phosphate metabolism","NVE12112","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Metabolism","Carbohydrate metabolism","ko00562","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04371 Apelin signaling pathway","NVE12112","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Environmental Information Processing","Signal transduction","ko04371","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04070 Phosphatidylinositol signaling system","NVE12112","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Environmental Information Processing","Signal transduction","ko04070","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04145 Phagosome","NVE12112","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Cellular Processes","Transport and catabolism","ko04145","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04140 Autophagy - animal","NVE12112","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Cellular Processes","Transport and catabolism","ko04140","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04138 Autophagy - yeast","NVE12112","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Cellular Processes","Transport and catabolism","ko04138","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"04136 Autophagy - other eukaryotes","NVE12112","K00914","PIK3C3; phosphatidylinositol 3-kinase [EC:2.7.1.137]","Cellular Processes","Transport and catabolism","ko04136","PIK3C3, VPS34, phosphatidylinositol 3-kinase"
"00562 Inositol phosphate metabolism","NVE16912","K00915","IPMK; inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]","Metabolism","Carbohydrate metabolism","ko00562","IPMK, IPK2, inositol-polyphosphate multikinase"
"04070 Phosphatidylinositol signaling system","NVE16912","K00915","IPMK; inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]","Environmental Information Processing","Signal transduction","ko04070","IPMK, IPK2, inositol-polyphosphate multikinase"
"04138 Autophagy - yeast","NVE16912","K00915","IPMK; inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]","Cellular Processes","Transport and catabolism","ko04138","IPMK, IPK2, inositol-polyphosphate multikinase"
"01200 Carbon metabolism","NVE7745","K00918","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]","Metabolism","Overview","ko01200","pfkC, ADP-dependent phosphofructokinase/glucokinase"
"00010 Glycolysis / Gluconeogenesis","NVE7745","K00918","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]","Metabolism","Carbohydrate metabolism","ko00010","pfkC, ADP-dependent phosphofructokinase/glucokinase"
"00030 Pentose phosphate pathway","NVE7745","K00918","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]","Metabolism","Carbohydrate metabolism","ko00030","pfkC, ADP-dependent phosphofructokinase/glucokinase"
"00680 Methane metabolism","NVE7745","K00918","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]","Metabolism","Energy metabolism","ko00680","pfkC, ADP-dependent phosphofructokinase/glucokinase"
"00562 Inositol phosphate metabolism","NVE7145","K00920","PIP4K2; 1-phosphatidylinositol-5-phosphate 4-kinase [EC:2.7.1.149]","Metabolism","Carbohydrate metabolism","ko00562","PIP4K2, 1-phosphatidylinositol-5-phosphate 4-kinase"
"04070 Phosphatidylinositol signaling system","NVE7145","K00920","PIP4K2; 1-phosphatidylinositol-5-phosphate 4-kinase [EC:2.7.1.149]","Environmental Information Processing","Signal transduction","ko04070","PIP4K2, 1-phosphatidylinositol-5-phosphate 4-kinase"
"04810 Regulation of actin cytoskeleton","NVE7145","K00920","PIP4K2; 1-phosphatidylinositol-5-phosphate 4-kinase [EC:2.7.1.149]","Cellular Processes","Cell motility","ko04810","PIP4K2, 1-phosphatidylinositol-5-phosphate 4-kinase"
"00562 Inositol phosphate metabolism","NVE11346","K00921","PIKFYVE; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]","Metabolism","Carbohydrate metabolism","ko00562","PIKFYVE, FAB1, 1-phosphatidylinositol-3-phosphate 5-kinase"
"04070 Phosphatidylinositol signaling system","NVE11346","K00921","PIKFYVE; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]","Environmental Information Processing","Signal transduction","ko04070","PIKFYVE, FAB1, 1-phosphatidylinositol-3-phosphate 5-kinase"
"04145 Phagosome","NVE11346","K00921","PIKFYVE; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]","Cellular Processes","Transport and catabolism","ko04145","PIKFYVE, FAB1, 1-phosphatidylinositol-3-phosphate 5-kinase"
"04810 Regulation of actin cytoskeleton","NVE11346","K00921","PIKFYVE; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]","Cellular Processes","Cell motility","ko04810","PIKFYVE, FAB1, 1-phosphatidylinositol-3-phosphate 5-kinase"
"00562 Inositol phosphate metabolism","NVE21503","K00922","","Metabolism","Carbohydrate metabolism","ko00562","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04014 Ras signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04014","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04015 Rap1 signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04015","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04012 ErbB signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04012","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04370 VEGF signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04370","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04630 Jak-STAT signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04630","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04668 TNF signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04668","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04066 HIF-1 signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04066","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04068 FoxO signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04068","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04070 Phosphatidylinositol signaling system","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04070","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04072 Phospholipase D signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04072","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04071 Sphingolipid signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04071","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04024 cAMP signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04024","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04151 PI3K-Akt signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04151","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04152 AMPK signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04152","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04150 mTOR signaling pathway","NVE21503","K00922","","Environmental Information Processing","Signal transduction","ko04150","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04140 Autophagy - animal","NVE21503","K00922","","Cellular Processes","Transport and catabolism","ko04140","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04210 Apoptosis","NVE21503","K00922","","Cellular Processes","Cell growth and death","ko04210","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04510 Focal adhesion","NVE21503","K00922","","Cellular Processes","Cellular community - eukaryotes","ko04510","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04550 Signaling pathways regulating pluripotency of stem cells","NVE21503","K00922","","Cellular Processes","Cellular community - eukaryotes","ko04550","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04810 Regulation of actin cytoskeleton","NVE21503","K00922","","Cellular Processes","Cell motility","ko04810","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04611 Platelet activation","NVE21503","K00922","","Organismal Systems","Immune system","ko04611","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04620 Toll-like receptor signaling pathway","NVE21503","K00922","","Organismal Systems","Immune system","ko04620","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04650 Natural killer cell mediated cytotoxicity","NVE21503","K00922","","Organismal Systems","Immune system","ko04650","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04660 T cell receptor signaling pathway","NVE21503","K00922","","Organismal Systems","Immune system","ko04660","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04662 B cell receptor signaling pathway","NVE21503","K00922","","Organismal Systems","Immune system","ko04662","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04664 Fc epsilon RI signaling pathway","NVE21503","K00922","","Organismal Systems","Immune system","ko04664","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04666 Fc gamma R-mediated phagocytosis","NVE21503","K00922","","Organismal Systems","Immune system","ko04666","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04670 Leukocyte transendothelial migration","NVE21503","K00922","","Organismal Systems","Immune system","ko04670","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04910 Insulin signaling pathway","NVE21503","K00922","","Organismal Systems","Endocrine system","ko04910","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04923 Regulation of lipolysis in adipocyte","NVE21503","K00922","","Organismal Systems","Endocrine system","ko04923","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04915 Estrogen signaling pathway","NVE21503","K00922","","Organismal Systems","Endocrine system","ko04915","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04914 Progesterone-mediated oocyte maturation","NVE21503","K00922","","Organismal Systems","Endocrine system","ko04914","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04917 Prolactin signaling pathway","NVE21503","K00922","","Organismal Systems","Endocrine system","ko04917","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04919 Thyroid hormone signaling pathway","NVE21503","K00922","","Organismal Systems","Endocrine system","ko04919","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04973 Carbohydrate digestion and absorption","NVE21503","K00922","","Organismal Systems","Digestive system","ko04973","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04960 Aldosterone-regulated sodium reabsorption","NVE21503","K00922","","Organismal Systems","Excretory system","ko04960","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04725 Cholinergic synapse","NVE21503","K00922","","Organismal Systems","Nervous system","ko04725","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04722 Neurotrophin signaling pathway","NVE21503","K00922","","Organismal Systems","Nervous system","ko04722","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04750 Inflammatory mediator regulation of TRP channels","NVE21503","K00922","","Organismal Systems","Sensory system","ko04750","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04360 Axon guidance","NVE21503","K00922","","Organismal Systems","Development","ko04360","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04380 Osteoclast differentiation","NVE21503","K00922","","Organismal Systems","Development","ko04380","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04211 Longevity regulating pathway - mammal","NVE21503","K00922","","Organismal Systems","Aging","ko04211","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04212 Longevity regulating pathway - worm","NVE21503","K00922","","Organismal Systems","Aging","ko04212","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04213 Longevity regulating pathway - multiple species","NVE21503","K00922","","Organismal Systems","Aging","ko04213","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"04932 Non-alcoholic fatty liver disease (NAFLD)","NVE21503","K00922","","Human Diseases","Endocrine and metabolic diseases","ko04932","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"05166 HTLV-I infection","NVE21503","K00922","","Human Diseases","Infectious diseases","ko05166","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"05142 Chagas disease (American trypanosomiasis)","NVE21503","K00922","","Human Diseases","Infectious diseases","ko05142","PIK3CA_B_D, phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"00562 Inositol phosphate metabolism","NVE994","K00923","PIK3C2; phosphatidylinositol-4-phosphate 3-kinase [EC:2.7.1.154]","Metabolism","Carbohydrate metabolism","ko00562","PIK3C2, phosphatidylinositol-4-phosphate 3-kinase"
"04070 Phosphatidylinositol signaling system","NVE994","K00923","PIK3C2; phosphatidylinositol-4-phosphate 3-kinase [EC:2.7.1.154]","Environmental Information Processing","Signal transduction","ko04070","PIK3C2, phosphatidylinositol-4-phosphate 3-kinase"
"00562 Inositol phosphate metabolism","NVE9869","K00923","","Metabolism","Carbohydrate metabolism","ko00562","PIK3C2, phosphatidylinositol-4-phosphate 3-kinase"
"04070 Phosphatidylinositol signaling system","NVE9869","K00923","","Environmental Information Processing","Signal transduction","ko04070","PIK3C2, phosphatidylinositol-4-phosphate 3-kinase"
"00562 Inositol phosphate metabolism","NVE10797","K00923","PIK3C2; phosphatidylinositol-4-phosphate 3-kinase [EC:2.7.1.154]","Metabolism","Carbohydrate metabolism","ko00562","PIK3C2, phosphatidylinositol-4-phosphate 3-kinase"
"04070 Phosphatidylinositol signaling system","NVE10797","K00923","PIK3C2; phosphatidylinositol-4-phosphate 3-kinase [EC:2.7.1.154]","Environmental Information Processing","Signal transduction","ko04070","PIK3C2, phosphatidylinositol-4-phosphate 3-kinase"
"01200 Carbon metabolism","NVE11712","K00927","PGK; phosphoglycerate kinase [EC:2.7.2.3]","Metabolism","Overview","ko01200","PGK, pgk, phosphoglycerate kinase"
"01230 Biosynthesis of amino acids","NVE11712","K00927","PGK; phosphoglycerate kinase [EC:2.7.2.3]","Metabolism","Overview","ko01230","PGK, pgk, phosphoglycerate kinase"
"00010 Glycolysis / Gluconeogenesis","NVE11712","K00927","PGK; phosphoglycerate kinase [EC:2.7.2.3]","Metabolism","Carbohydrate metabolism","ko00010","PGK, pgk, phosphoglycerate kinase"
"00710 Carbon fixation in photosynthetic organisms","NVE11712","K00927","PGK; phosphoglycerate kinase [EC:2.7.2.3]","Metabolism","Energy metabolism","ko00710","PGK, pgk, phosphoglycerate kinase"
"00330 Arginine and proline metabolism","NVE12834","K00933","E2.7.3.2; creatine kinase [EC:2.7.3.2]","Metabolism","Amino acid metabolism","ko00330","E2.7.3.2, creatine kinase"
"00330 Arginine and proline metabolism","NVE21644","K00933","E2.7.3.2; creatine kinase [EC:2.7.3.2]","Metabolism","Amino acid metabolism","ko00330","E2.7.3.2, creatine kinase"
